Classification,Yield,Trait_value,Stage,Trait,Condition
Elite,163.8396199,0.559723653,Vegetative Stage,NDVI,Heat Stress
Elite,332.9750086,0.553692811,Vegetative Stage,NDVI,Heat Stress
Elite,165.5186784,0.43386745,Vegetative Stage,NDVI,Heat Stress
Elite,385.3081972,0.567969758,Vegetative Stage,NDVI,Heat Stress
Elite,220.8235522,0.514969935,Vegetative Stage,NDVI,Heat Stress
Elite,276.4000129,0.524474376,Vegetative Stage,NDVI,Heat Stress
Elite,182.814219,0.477484709,Vegetative Stage,NDVI,Heat Stress
Elite,379.0190399,0.59940024,Vegetative Stage,NDVI,Heat Stress
Elite,286.483996,0.515323274,Vegetative Stage,NDVI,Heat Stress
Elite,265.8799669,0.520018365,Vegetative Stage,NDVI,Heat Stress
Elite,302.735238,0.583073258,Vegetative Stage,NDVI,Heat Stress
Elite,273.2307553,0.545140268,Vegetative Stage,NDVI,Heat Stress
Elite,276.6914964,0.519312311,Vegetative Stage,NDVI,Heat Stress
Elite,314.0479484,0.589211616,Vegetative Stage,NDVI,Heat Stress
Elite,312.2115841,0.602752274,Vegetative Stage,NDVI,Heat Stress
Elite,189.6337423,0.503664114,Vegetative Stage,NDVI,Heat Stress
Elite,252.1527693,0.508578204,Vegetative Stage,NDVI,Heat Stress
Elite,208.7269229,0.462621087,Vegetative Stage,NDVI,Heat Stress
Elite,169.7105891,0.552070405,Vegetative Stage,NDVI,Heat Stress
Elite,363.3198038,0.566392208,Vegetative Stage,NDVI,Heat Stress
Elite,230.8840627,0.485402451,Vegetative Stage,NDVI,Heat Stress
Elite,229.6560062,0.519375839,Vegetative Stage,NDVI,Heat Stress
Elite,327.0363649,0.574429556,Vegetative Stage,NDVI,Heat Stress
Elite,290.8926952,0.568695206,Vegetative Stage,NDVI,Heat Stress
Elite,261.2218087,0.490936672,Vegetative Stage,NDVI,Heat Stress
Elite,127.7520317,0.458036506,Vegetative Stage,NDVI,Heat Stress
Elite,301.6139358,0.586160376,Vegetative Stage,NDVI,Heat Stress
Elite,201.7423097,0.540527347,Vegetative Stage,NDVI,Heat Stress
Elite,319.4314671,0.519112141,Vegetative Stage,NDVI,Heat Stress
Elite,356.9956244,0.603365966,Vegetative Stage,NDVI,Heat Stress
Elite,466.1539662,0.666068637,Vegetative Stage,NDVI,Heat Stress
Elite,279.1740539,0.544512688,Vegetative Stage,NDVI,Heat Stress
Elite,202.6152391,0.489277578,Vegetative Stage,NDVI,Heat Stress
Elite,213.343225,0.489125342,Vegetative Stage,NDVI,Heat Stress
Elite,250.1697514,0.507207909,Vegetative Stage,NDVI,Heat Stress
Elite,212.8801952,0.47415253,Vegetative Stage,NDVI,Heat Stress
Elite,229.9982729,0.495543035,Vegetative Stage,NDVI,Heat Stress
Elite,296.0324704,0.563169652,Vegetative Stage,NDVI,Heat Stress
Elite,383.9691594,0.582283528,Vegetative Stage,NDVI,Heat Stress
Elite,252.4378291,0.516298971,Vegetative Stage,NDVI,Heat Stress
Elite,332.4613027,0.558638736,Vegetative Stage,NDVI,Heat Stress
Elite,250.2921316,0.508471551,Vegetative Stage,NDVI,Heat Stress
Elite,325.3142898,0.560251277,Vegetative Stage,NDVI,Heat Stress
Elite,190.6337706,0.44889227,Vegetative Stage,NDVI,Heat Stress
Elite,280.9216356,0.580337715,Vegetative Stage,NDVI,Heat Stress
Elite,272.1289448,0.534436918,Vegetative Stage,NDVI,Heat Stress
Elite,323.9285365,0.56346791,Vegetative Stage,NDVI,Heat Stress
Elite,330.7406715,0.510355851,Vegetative Stage,NDVI,Heat Stress
Elite,362.59473,0.593374545,Vegetative Stage,NDVI,Heat Stress
Elite,306.604375,0.57309355,Vegetative Stage,NDVI,Heat Stress
Elite,286.1103968,0.503121202,Vegetative Stage,NDVI,Heat Stress
Elite,255.3961907,0.57506289,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,450.662905,0.690051049,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,211.1737398,0.532007429,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,283.9635102,0.546032712,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,221.7938527,0.542015023,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,433.1076813,0.664808466,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,455.1851596,0.628432622,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,302.9302055,0.631524788,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,216.0330474,0.527738608,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,462.5022185,0.683733703,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,438.1787449,0.631912936,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,417.5983861,0.601804144,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,424.3258541,0.602339727,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,430.909215,0.602441439,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,333.1645575,0.569881987,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,437.1813732,0.629973941,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,331.5205793,0.554248988,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,416.6504002,0.633509242,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,359.6745538,0.600282872,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,300.5544967,0.504855246,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,373.3637488,0.619157308,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,350.6010384,0.559877936,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,496.4190236,0.649624578,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,451.4322968,0.624109394,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,273.9835259,0.600708043,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,339.0935697,0.641369664,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,470.5418275,0.690444791,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,259.4813543,0.608772026,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,369.6700578,0.607373522,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,427.0300541,0.566456186,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,291.0883692,0.540557029,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,493.7966347,0.63449019,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,181.5093451,0.491655433,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,459.1524848,0.641228986,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,471.6028931,0.632814991,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,296.792152,0.54126107,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,253.7944937,0.600508647,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,159.4431935,0.456034752,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,404.807767,0.67213959,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,454.7427255,0.628237924,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,405.5322817,0.611237415,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,397.6898915,0.606512479,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,185.7169193,0.491385108,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,450.9012558,0.634111467,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,263.6170037,0.567087808,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,268.8443955,0.567123016,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,450.8310767,0.644795818,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,332.895234,0.622797417,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,254.1143213,0.582061145,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,390.1068526,0.599018184,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,213.3427796,0.496452467,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,356.3656674,0.637275985,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,405.4951714,0.673039144,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,384.2423942,0.65566243,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,405.781921,0.641900058,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,389.1874401,0.599314664,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,447.8964233,0.642462427,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,462.4109795,0.651915439,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,421.2344531,0.620409415,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,427.6727078,0.623469011,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,435.9793964,0.635492551,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,410.8535579,0.673985383,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,239.8406929,0.488379092,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,401.8192438,0.616329412,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,374.5510603,0.605195399,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,394.1551739,0.599391152,Vegetative Stage,NDVI,Heat Stress
Exotic-derived,306.3726864,0.605447922,Vegetative Stage,NDVI,Heat Stress
Elite,214.9383133,0.259933625,Grain Filling Stage,NDVI,Heat Stress
Elite,296.8605132,0.287060968,Grain Filling Stage,NDVI,Heat Stress
Elite,360.0275722,0.301793222,Grain Filling Stage,NDVI,Heat Stress
Elite,235.4395424,0.273345496,Grain Filling Stage,NDVI,Heat Stress
Elite,154.4604288,0.26913142,Grain Filling Stage,NDVI,Heat Stress
Elite,182.7820549,0.266164322,Grain Filling Stage,NDVI,Heat Stress
Elite,273.5387435,0.265810115,Grain Filling Stage,NDVI,Heat Stress
Elite,172.8906224,0.273878362,Grain Filling Stage,NDVI,Heat Stress
Elite,191.5248744,0.252927634,Grain Filling Stage,NDVI,Heat Stress
Elite,250.203849,0.271622733,Grain Filling Stage,NDVI,Heat Stress
Elite,141.3551492,0.269800673,Grain Filling Stage,NDVI,Heat Stress
Elite,205.9655379,0.286942366,Grain Filling Stage,NDVI,Heat Stress
Elite,297.1946515,0.295884238,Grain Filling Stage,NDVI,Heat Stress
Elite,290.0434225,0.347421306,Grain Filling Stage,NDVI,Heat Stress
Elite,267.5067012,0.251033316,Grain Filling Stage,NDVI,Heat Stress
Elite,220.4944116,0.256117672,Grain Filling Stage,NDVI,Heat Stress
Elite,330.3883898,0.278628864,Grain Filling Stage,NDVI,Heat Stress
Elite,256.7875513,0.254741235,Grain Filling Stage,NDVI,Heat Stress
Elite,335.0612428,0.301626063,Grain Filling Stage,NDVI,Heat Stress
Elite,308.563719,0.286465543,Grain Filling Stage,NDVI,Heat Stress
Elite,339.8533862,0.306908905,Grain Filling Stage,NDVI,Heat Stress
Elite,274.4773845,0.302633575,Grain Filling Stage,NDVI,Heat Stress
Elite,283.2818885,0.276919651,Grain Filling Stage,NDVI,Heat Stress
Elite,323.1745427,0.293992096,Grain Filling Stage,NDVI,Heat Stress
Elite,306.4897153,0.29600913,Grain Filling Stage,NDVI,Heat Stress
Elite,186.8309005,0.35028006,Grain Filling Stage,NDVI,Heat Stress
Elite,186.6696276,0.289416069,Grain Filling Stage,NDVI,Heat Stress
Elite,183.2118735,0.284335024,Grain Filling Stage,NDVI,Heat Stress
Elite,128.9917431,0.266347375,Grain Filling Stage,NDVI,Heat Stress
Elite,139.8633196,0.260162332,Grain Filling Stage,NDVI,Heat Stress
Elite,383.5641661,0.275111692,Grain Filling Stage,NDVI,Heat Stress
Elite,163.8396199,0.308875644,Grain Filling Stage,NDVI,Heat Stress
Elite,332.9750086,0.288696188,Grain Filling Stage,NDVI,Heat Stress
Elite,165.5186784,0.238776635,Grain Filling Stage,NDVI,Heat Stress
Elite,385.3081972,0.290432187,Grain Filling Stage,NDVI,Heat Stress
Elite,220.8235522,0.251754425,Grain Filling Stage,NDVI,Heat Stress
Elite,276.4000129,0.267635804,Grain Filling Stage,NDVI,Heat Stress
Elite,182.814219,0.239471827,Grain Filling Stage,NDVI,Heat Stress
Elite,379.0190399,0.285606458,Grain Filling Stage,NDVI,Heat Stress
Elite,286.483996,0.26286909,Grain Filling Stage,NDVI,Heat Stress
Elite,265.8799669,0.260119241,Grain Filling Stage,NDVI,Heat Stress
Elite,302.735238,0.308928489,Grain Filling Stage,NDVI,Heat Stress
Elite,273.2307553,0.293265143,Grain Filling Stage,NDVI,Heat Stress
Elite,276.6914964,0.279258806,Grain Filling Stage,NDVI,Heat Stress
Elite,314.0479484,0.315766496,Grain Filling Stage,NDVI,Heat Stress
Elite,312.2115841,0.295622446,Grain Filling Stage,NDVI,Heat Stress
Elite,189.6337423,0.272846646,Grain Filling Stage,NDVI,Heat Stress
Elite,252.1527693,0.275476493,Grain Filling Stage,NDVI,Heat Stress
Elite,208.7269229,0.264732417,Grain Filling Stage,NDVI,Heat Stress
Elite,169.7105891,0.306522538,Grain Filling Stage,NDVI,Heat Stress
Elite,363.3198038,0.284789649,Grain Filling Stage,NDVI,Heat Stress
Elite,230.8840627,0.262516117,Grain Filling Stage,NDVI,Heat Stress
Elite,229.6560062,0.277474127,Grain Filling Stage,NDVI,Heat Stress
Elite,327.0363649,0.298292905,Grain Filling Stage,NDVI,Heat Stress
Elite,290.8926952,0.298492028,Grain Filling Stage,NDVI,Heat Stress
Elite,261.2218087,0.248306557,Grain Filling Stage,NDVI,Heat Stress
Elite,127.7520317,0.245272145,Grain Filling Stage,NDVI,Heat Stress
Elite,301.6139358,0.281629419,Grain Filling Stage,NDVI,Heat Stress
Elite,201.7423097,0.2822381,Grain Filling Stage,NDVI,Heat Stress
Elite,319.4314671,0.255181663,Grain Filling Stage,NDVI,Heat Stress
Elite,356.9956244,0.295037587,Grain Filling Stage,NDVI,Heat Stress
Elite,466.1539662,0.346909278,Grain Filling Stage,NDVI,Heat Stress
Elite,279.1740539,0.249754537,Grain Filling Stage,NDVI,Heat Stress
Elite,202.6152391,0.239964272,Grain Filling Stage,NDVI,Heat Stress
Elite,213.343225,0.25814708,Grain Filling Stage,NDVI,Heat Stress
Elite,250.1697514,0.257711461,Grain Filling Stage,NDVI,Heat Stress
Elite,212.8801952,0.261639173,Grain Filling Stage,NDVI,Heat Stress
Elite,229.9982729,0.253126232,Grain Filling Stage,NDVI,Heat Stress
Elite,296.0324704,0.275105592,Grain Filling Stage,NDVI,Heat Stress
Elite,383.9691594,0.282884316,Grain Filling Stage,NDVI,Heat Stress
Elite,252.4378291,0.272501922,Grain Filling Stage,NDVI,Heat Stress
Elite,332.4613027,0.288286901,Grain Filling Stage,NDVI,Heat Stress
Elite,250.2921316,0.257058469,Grain Filling Stage,NDVI,Heat Stress
Elite,325.3142898,0.277816034,Grain Filling Stage,NDVI,Heat Stress
Elite,190.6337706,0.241674154,Grain Filling Stage,NDVI,Heat Stress
Elite,280.9216356,0.301269577,Grain Filling Stage,NDVI,Heat Stress
Elite,272.1289448,0.26002794,Grain Filling Stage,NDVI,Heat Stress
Elite,323.9285365,0.291303578,Grain Filling Stage,NDVI,Heat Stress
Elite,330.7406715,0.26068611,Grain Filling Stage,NDVI,Heat Stress
Elite,362.59473,0.343599281,Grain Filling Stage,NDVI,Heat Stress
Elite,306.604375,0.317157316,Grain Filling Stage,NDVI,Heat Stress
Elite,286.1103968,0.284354557,Grain Filling Stage,NDVI,Heat Stress
Elite,255.3961907,0.322601926,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,450.662905,0.361241396,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,211.1737398,0.26376852,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,283.9635102,0.291848895,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,221.7938527,0.355879694,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,433.1076813,0.358590561,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,455.1851596,0.328795156,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,302.9302055,0.316128842,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,216.0330474,0.26794736,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,462.5022185,0.36838716,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,438.1787449,0.329691637,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,417.5983861,0.315855143,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,424.3258541,0.32872894,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,430.909215,0.321208456,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,333.1645575,0.296691499,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,437.1813732,0.335542402,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,331.5205793,0.287532856,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,416.6504002,0.316681902,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,359.6745538,0.309905072,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,300.5544967,0.267433793,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,373.3637488,0.328836327,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,350.6010384,0.299383847,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,496.4190236,0.331626504,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,451.4322968,0.305628504,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,273.9835259,0.303143994,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,339.0935697,0.336456026,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,470.5418275,0.364221052,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,259.4813543,0.318932455,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,369.6700578,0.294878364,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,427.0300541,0.292997644,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,291.0883692,0.262617546,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,493.7966347,0.314137927,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,181.5093451,0.282264322,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,459.1524848,0.331627356,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,471.6028931,0.317830797,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,296.792152,0.273070017,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,253.7944937,0.300065303,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,159.4431935,0.244381247,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,404.807767,0.349768835,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,454.7427255,0.320802508,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,405.5322817,0.325292189,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,397.6898915,0.312886676,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,185.7169193,0.271763504,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,450.9012558,0.335079424,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,263.6170037,0.316241105,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,268.8443955,0.282776429,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,450.8310767,0.325994038,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,332.895234,0.303896887,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,254.1143213,0.265841759,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,390.1068526,0.308015638,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,213.3427796,0.245714846,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,356.3656674,0.30543475,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,405.4951714,0.350915281,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,384.2423942,0.33552054,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,405.781921,0.316128736,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,389.1874401,0.29754963,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,447.8964233,0.336766329,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,462.4109795,0.346505263,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,421.2344531,0.307042585,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,427.6727078,0.320039924,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,435.9793964,0.330362042,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,410.8535579,0.334874715,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,239.8406929,0.249079733,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,401.8192438,0.324151331,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,374.5510603,0.306586326,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,394.1551739,0.306140733,Grain Filling Stage,NDVI,Heat Stress
Exotic-derived,306.3726864,0.299902477,Grain Filling Stage,NDVI,Heat Stress
Elite,214.9383133,32.13142954,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,296.8605132,31.19420289,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,360.0275722,30.73870876,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,235.4395424,32.39893491,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,154.4604288,32.73976456,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,182.7820549,33.01552617,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,273.5387435,31.96412992,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,172.8906224,33.28866472,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,191.5248744,34.85624419,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,250.203849,32.37176994,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,141.3551492,33.32801264,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,205.9655379,32.26872519,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,297.1946515,31.29479029,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,290.0434225,30.41520747,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,267.5067012,32.264539,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,220.4944116,32.88869768,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,330.3883898,31.42544929,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,256.7875513,32.33142032,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,335.0612428,31.13295521,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,308.563719,31.47756925,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,339.8533862,30.58606023,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,274.4773845,31.53859638,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,283.2818885,31.26342541,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,323.1745427,30.53147477,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,306.4897153,31.60859959,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,186.8309005,31.2231011,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,186.6696276,31.63260359,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,183.2118735,31.59617522,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,128.9917431,33.12826402,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,139.8633196,31.38362908,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,383.5641661,31.12649545,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,163.8396199,31.32375051,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,332.9750086,31.13646195,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,165.5186784,34.19907775,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,385.3081972,30.95552432,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,220.8235522,32.1138872,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,276.4000129,31.81537655,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,182.814219,33.12204058,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,379.0190399,30.48098415,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,286.483996,32.4042476,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,265.8799669,31.89610148,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,302.735238,31.06260683,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,273.2307553,31.56176039,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,276.6914964,31.37697022,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,314.0479484,31.35703982,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,312.2115841,30.57366436,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,189.6337423,32.6562232,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,252.1527693,32.32148146,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,208.7269229,32.61041242,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,169.7105891,31.84581817,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,363.3198038,30.50020563,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,230.8840627,32.71478848,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,229.6560062,31.87307055,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,327.0363649,30.39316514,Vegetative Stage,Canopy Temperature,Heat Stress
Elite,290.8926952,30.91355005,Vegetative Stage,Canopy Temperature,Heat Stress
