Group,YLD,TGW,GM2,BM,HI,Height
Elite,301.6139358,31.02019987,9773.368886,658.5512189,0.462,61.48581553
Exotic-der,384.2423942,35.73045138,10717.57266,808.6095474,0.45925,69.88868857
Exotic-der,405.781921,35.85918612,11265.04428,893.4121521,0.4585,80.39606759
Elite,201.7423097,38.08451204,5198.884653,456.1948201,0.43425,65.46047536
Elite,319.4314671,32.72849347,9879.938569,684.7635316,0.4705,59.23275629
Elite,356.9956244,33.91530977,10471.14645,698.6779808,0.5095,60.46161948
Exotic-der,389.1874401,36.27982867,10745.41967,871.5422434,0.45,70.73199694
Exotic-der,447.8964233,40.44139768,10828.34118,904.6051323,0.48975,73.74909519
Exotic-der,462.4109795,37.9176287,12192.84135,978.3719709,0.4795,65.29679056
Exotic-der,421.2344531,35.52843095,11888.50067,874.5879941,0.47425,66.0489204
Exotic-der,427.6727078,41.92424031,10166.21746,882.2078829,0.488,70.54702842
Elite,466.1539662,38.43497087,12089.09319,953.4900664,0.485,71.04437249
Exotic-der,435.9793964,40.66935021,10777.24502,923.8721447,0.47875,71.74783236
Exotic-der,410.8535579,31.50523642,13008.28878,803.4279248,0.51,69.91307433
Elite,279.1740539,33.87305233,8152.078724,584.0965034,0.4645,67.79540345
Exotic-der,239.8406929,29.28822655,8190.142845,511.5038161,0.46075,58.65728048
Elite,202.6152391,29.13253391,6714.287139,414.8526955,0.46175,60.51896918
Elite,213.343225,29.50747138,7028.349236,420.442158,0.49725,56.58513329
Elite,250.1697514,30.32166913,8267.189916,494.5036348,0.50225,62.33300345
Elite,212.8801952,34.22043811,6107.439746,408.5767962,0.4945,66.16030808
Elite,229.9982729,29.05073024,7652.982958,570.2036774,0.44025,56.37789648
Elite,296.0324704,31.78777254,9209.514622,636.2239917,0.46925,57.52588716
Elite,383.9691594,35.3438446,10695.02643,792.4508652,0.4975,67.76427664
Elite,252.4378291,34.92696126,7307.733128,557.458016,0.45175,64.27559185
Elite,332.4613027,35.01276351,9389.892448,684.3265392,0.4875,64.25272169
Exotic-der,401.8192438,38.68978394,10376.21445,831.2755925,0.488,71.54248985
Elite,250.2921316,31.10334447,7894.621936,569.3458846,0.44475,56.48799185
Elite,325.3142898,37.03916124,8742.561456,676.2557885,0.4825,66.26079822
Elite,190.6337706,33.19351868,5830.436057,405.9881973,0.4795,60.52486888
Elite,280.9216356,35.33552855,7909.58199,627.132306,0.461,62.28066272
Elite,272.1289448,32.73098435,8054.223836,557.5247881,0.473,59.31821647
Elite,323.9285365,36.25124989,8986.16942,657.5451464,0.48625,67.6619183
Elite,330.7406715,34.08424002,9773.273487,644.5885378,0.5125,66.58112445
Exotic-der,374.5510603,35.93456594,10352.11386,772.5387057,0.47975,62.89553222
Elite,362.59473,34.81768261,10113.07056,810.4258565,0.4595,62.63184742
Elite,306.604375,29.16536368,10489.87566,715.0343664,0.4315,54.07167634
Elite,286.1103968,32.8110692,8574.918175,614.724018,0.46125,59.92100409
Exotic-der,394.1551739,35.31645158,10947.57039,794.7115179,0.4935,64.93415205
Elite,255.3961907,29.82988258,8274.398886,574.088629,0.4345,64.0670538
Exotic-der,306.3726864,38.32025378,8160.848098,671.0676045,0.46,64.69587239
