AAG,ACC,TCC,experiment
31.80061477,,,Heat Stress
32.03225789,,,Heat Stress
32.88676821,,,Heat Stress
33.13808078,,,Heat Stress
33.39216586,,,Heat Stress
32.73111434,,,Heat Stress
33.50039127,,,Heat Stress
32.49431621,,,Heat Stress
31.28062778,,,Heat Stress
30.9274481,,,Heat Stress
32.29479609,,,Heat Stress
31.02433434,,,Heat Stress
30.33488892,,,Heat Stress
32.33641672,,,Heat Stress
31.59803636,,,Heat Stress
33.50931935,,,Heat Stress
31.48440688,,,Heat Stress
31.95943462,,,Heat Stress
31.00520775,,,Heat Stress
32.12836336,,,Heat Stress
30.00909982,,,Heat Stress
29.98229499,,,Heat Stress
31.59308413,,,Heat Stress
32.25342771,,,Heat Stress
31.35193431,,,Heat Stress
30.50381028,,,Heat Stress
25.79866203,25.83682232,26.71941996,Yield Potential
26.38200343,25.69613512,25.81720736,Yield Potential
26.48386344,26.01696091,26.00687708,Yield Potential
26.08792773,25.95434258,26.0625804,Yield Potential
26.24613948,25.75369918,25.77573177,Yield Potential
26.58210805,25.66971033,26.16272413,Yield Potential
26.09433105,26.75204444,25.73366919,Yield Potential
26.44488564,26.54207322,26.09857987,Yield Potential
26.79627319,25.94741375,25.66291862,Yield Potential
26.07563049,25.61669382,25.74179778,Yield Potential
26.14319208,25.75885519,25.79698734,Yield Potential
26.13175818,25.85802061,25.7957643,Yield Potential
26.22173065,26.18886099,26.23879877,Yield Potential
25.72502683,25.85427895,26.08439432,Yield Potential
25.74874906,26.01128743,25.86184452,Yield Potential
26.32904871,,25.77469903,Yield Potential
25.99261151,,25.9548581,Yield Potential
26.1946167,,26.47263113,Yield Potential
26.45059868,,26.29830563,Yield Potential
26.00406376,,25.83789819,Yield Potential
26.17452559,,25.82276073,Yield Potential
26.2733912,,25.73405633,Yield Potential
26.29638202,,25.83631409,Yield Potential
25.7485181,,25.80011192,Yield Potential
25.65903456,,25.7012021,Yield Potential
25.70527826,,25.79048802,Yield Potential
26.12909089,,25.790873,Yield Potential
25.98206782,,25.83673545,Yield Potential
25.91235943,,25.90315951,Yield Potential
25.56304351,,25.8506847,Yield Potential
25.99149216,,,Yield Potential
25.74735382,,,Yield Potential
26.13735198,,,Yield Potential
25.66817182,,,Yield Potential
26.13056819,,,Yield Potential
25.71187163,,,Yield Potential
26.0212569,,,Yield Potential
26.06405879,,,Yield Potential
26.11535077,,,Yield Potential
25.58494934,,,Yield Potential
25.74544609,,,Yield Potential
25.94060382,,,Yield Potential
25.87192722,,,Yield Potential
25.90419698,,,Yield Potential
25.94159731,,,Yield Potential
25.8087734,,,Yield Potential
25.84763171,,,Yield Potential
26.10104019,,,Yield Potential
26.11811373,,,Yield Potential
26.259029,,,Yield Potential
25.69763555,,,Yield Potential
26.13674153,,,Yield Potential
26.01042892,,,Yield Potential
25.84161464,,,Yield Potential
26.01021204,,,Yield Potential
26.08433499,,,Yield Potential
25.78927264,,,Yield Potential
25.59094017,,,Yield Potential
25.66544666,,,Yield Potential
25.89825773,,,Yield Potential
26.05472341,,,Yield Potential
25.79694448,,,Yield Potential
25.96042732,,,Yield Potential
26.07736009,,,Yield Potential
25.8540254,,,Yield Potential
26.28838323,,,Yield Potential
25.97946578,,,Yield Potential
26.12160784,,,Yield Potential
26.09946265,,,Yield Potential
26.39802563,,,Yield Potential
26.51559698,,,Yield Potential
26.21435881,,,Yield Potential
25.9811168,,,Yield Potential
25.84676073,,,Yield Potential
26.30350269,,,Yield Potential
25.89735856,,,Yield Potential
25.50951628,,,Yield Potential
26.0212913,,,Yield Potential
25.70388821,,,Yield Potential
26.40265785,,,Yield Potential
25.97112164,,,Yield Potential
26.06666286,,,Yield Potential
25.96398873,,,Yield Potential
26.36870864,,,Yield Potential
25.80937266,,,Yield Potential
25.88756198,,,Yield Potential
26.40045463,,,Yield Potential
25.93342497,,,Yield Potential
25.99212632,,,Yield Potential
