Group,YLD,TGW,GM2,BM,HI,Height
Exotic-der,705.2299656,45.83717567,15324.44292,1600.726057,0.460938312,104.5184037
Elite,683.2829889,43.8160049,15580.99254,1423.488815,0.486571494,104.264684
Exotic-der,555.3871896,38.95506449,14320.7022,1327.747162,0.44955991,98.70212478
Exotic-der,590.7545148,48.01089674,12304.1266,1356.491504,0.471744001,104.3114193
Exotic-der,625.7564144,45.61827395,13766.00322,1436.021503,0.460369769,98.61686944
Exotic-der,614.4882016,48.75174163,12601.00806,1413.031585,0.467890062,101.4615383
Elite,602.929282,44.08442061,13664.69642,1442.883492,0.446183825,104.2676106
Exotic-der,644.7322891,44.81656945,14360.47174,1421.337148,0.480924871,100.7648389
Exotic-der,637.5821481,44.57986685,14304.34727,1421.621552,0.478371788,96.9500086
Exotic-der,599.8554719,50.66229631,11843.47456,1420.110478,0.450535269,103.2144345
Exotic-der,590.8709896,46.44533039,12709.1031,1443.347294,0.43209149,103.8343164
Exotic-der,615.5146172,47.39873482,12952.8486,1432.0781,0.484263917,96.7601442
Elite,575.7216705,38.84725094,14816.45004,1314.229592,0.475314604,97.41905644
Exotic-der,536.6511825,38.39450023,13977.26101,1378.457568,0.432224891,105.8543719
Elite,685.5685794,50.23424224,13608.09871,1456.700941,0.496795965,106.3985425
Elite,580.7904101,36.41458004,15894.93273,1255.118845,0.498540356,90.39941151
Exotic-der,561.9468026,41.06171643,13723.83479,1316.241635,0.483032595,96.47395827
Elite,582.5217224,43.6954676,13323.00649,1240.984588,0.499280355,100.7351516
Exotic-der,580.6791827,43.23448818,13486.80472,1333.564307,0.46908131,95.33478797
Elite,638.3686695,41.37050372,15435.82523,1560.535512,0.450873826,94.85738767
Exotic-der,584.8290171,43.17336026,13582.02075,1377.267453,0.452234233,96.17098063
Exotic-der,557.3718896,45.44175865,12236.94428,1282.563257,0.45172302,105.0019787
Exotic-der,620.1678265,51.66459291,11993.00371,1473.779936,0.459467401,104.2489677
Exotic-der,602.5445262,50.46987191,11937.6571,1474.980504,0.44124711,103.2088494
Exotic-der,592.4821543,44.65865478,13286.11259,1385.586596,0.462464976,101.2113522
Exotic-der,521.7043139,45.23147801,11531.47793,1241.148668,0.457529595,108.7081598
Exotic-der,571.9173507,47.56500634,11988.15277,1305.153519,0.466283625,101.9856765
Elite,605.0281267,36.99005408,16367.88322,1415.41161,0.445504882,102.3679286
Elite,558.4888714,38.58608346,14466.92544,1302.037039,0.455428468,96.34732626
Elite,626.1360378,39.53108004,15752.51914,1417.03224,0.483885964,95.42443955
Elite,584.2967618,36.51913303,16041.11988,1279.94728,0.463226145,92.40996972
Exotic-der,551.028693,44.72797695,12302.63503,1297.460838,0.448849881,97.05995149
Elite,595.6939772,42.57960045,13966.19456,1392.426558,0.456793532,101.4603588
Exotic-der,606.5574554,44.09564684,13756.84319,1337.060865,0.480719459,101.4534978
Exotic-der,596.5307143,48.41198415,12315.52841,1356.70053,0.459283461,96.77645121
Exotic-der,621.7785017,53.79761276,11571.83014,1542.537026,0.444673263,98.2875386
Exotic-der,594.5210315,40.76404888,14603.39207,1304.937605,0.471716334,101.0353633
Elite,625.2314898,43.42566854,14470.06351,1275.751671,0.504294156,96.87415656
Elite,612.3098838,40.05499741,15302.12298,1346.348795,0.473195075,95.96770129
Exotic-der,576.2048903,44.71981256,12914.80264,1441.154205,0.426969215,97.55532593
Elite,499.1792674,30.02560678,16609.50616,1310.113219,0.415497646,99.59650554
Elite,623.3803796,39.05499778,15957.71372,1368.465051,0.477210973,100.5780439
Exotic-der,654.1872441,41.59775183,15701.14867,1556.820258,0.443647015,97.71570481
Elite,594.7671003,44.94876384,13267.21402,1420.71535,0.441960308,99.82867342
Exotic-der,620.0560864,41.42421426,14998.35083,1299.066773,0.494955719,98.28442709
Elite,615.2322548,42.65652422,14384.96681,1402.270739,0.475241994,98.7701825
Elite,625.8226975,49.8655238,12534.95069,1366.757806,0.481572908,102.5033061
Elite,622.4344742,49.8019488,12515.44156,1382.651308,0.485211942,105.3390673
Exotic-der,561.8271359,47.83402843,11703.03368,1239.47004,0.475502205,101.0384388
Exotic-der,567.782021,45.90738807,12363.87615,1269.288499,0.465362836,98.10180033
Elite,628.9033781,44.3014021,14208.53041,1373.879349,0.492016112,96.18240686
Elite,621.7027521,39.77694888,15626.47925,1515.500037,0.435121144,94.05225332
Elite,495.3587485,38.68185184,12734.16522,1104.245139,0.485299206,91.49982791
Exotic-der,550.0831558,47.27456837,11598.48219,1334.507703,0.438054155,102.7924172
Elite,581.5122744,48.3125055,12030.06213,1249.16384,0.494947133,102.9911931
Elite,591.2599682,41.7154651,14147.46882,1270.20246,0.482257406,95.77929557
Elite,639.3217932,46.27208513,13820.80648,1393.919405,0.488653744,99.416456
Elite,525.0701418,40.38526107,13044.18484,1190.995659,0.464423489,89.27073877
Exotic-der,592.479176,46.47196331,12753.5987,1430.830399,0.444124139,98.20929408
Elite,603.9250205,50.42603719,11995.03096,1376.704006,0.466115412,98.28709933
Elite,553.587357,41.60399081,13312.27534,1276.962464,0.471757337,99.13451833
Elite,540.8343742,42.8841592,12639.01689,1141.720054,0.486393766,98.58256559
Elite,615.2428454,45.5857914,13489.9618,1268.780778,0.48614816,97.4712334
Elite,601.3058598,40.52994009,14827.97878,1232.653239,0.503520023,96.15429087
Exotic-der,609.7858476,47.18098716,12972.69952,1452.511939,0.44236167,102.8596028
Exotic-der,623.3535545,49.21836344,12670.05481,1398.357997,0.463965868,102.1261229
Exotic-der,528.9972183,47.02508865,11287.94111,1276.333445,0.467174804,112.9735355
Exotic-der,585.5186653,47.94456448,12238.88925,1377.354149,0.478348563,104.0870125
Exotic-der,495.7554221,41.57227521,11853.73634,1274.455316,0.440338095,106.7279285
Elite,583.503137,34.74486164,16726.31765,1420.720195,0.436207142,98.49895628
Elite,646.7870353,45.01606302,14363.47296,1385.507393,0.496271864,104.5275712
Elite,629.2594758,41.9894947,14980.44343,1359.326272,0.482007441,99.61510929
Exotic-der,617.1189665,42.2770563,14593.97579,1404.60245,0.458241597,106.0418697
Exotic-der,569.2638712,43.60841689,13008.0106,1406.590857,0.436029198,101.6579578
Exotic-der,588.7829568,46.59979841,12634.52425,1341.010665,0.46712659,101.5865828
Exotic-der,606.8278149,50.68025674,11939.45628,1347.645881,0.479533196,99.59853444
Exotic-der,564.344767,46.10650424,12181.2327,1321.494147,0.45812299,97.2376539
Exotic-der,554.1669555,50.26946861,10979.0028,1204.290537,0.486394731,99.17863469
Elite,597.9127669,44.30396117,13441.67554,1227.596173,0.498827763,97.82885605
Exotic-der,614.1875495,48.12032556,12718.78219,1526.735169,0.447193022,104.0743485
Elite,588.7943502,37.59436129,15572.04212,1409.968528,0.468132334,99.57135086
Exotic-der,590.9845992,47.31905547,12439.32609,1570.848345,0.408774884,113.800493
Elite,641.89376,46.63267729,13760.53145,1445.601132,0.4698152,98.10413212
Elite,647.4814325,44.69591958,14472.37591,1392.160158,0.483910868,103.5589691
Elite,588.9501478,43.56947403,13486.05436,1291.996879,0.479387401,97.12635015
Elite,575.6603082,42.10211767,13662.40743,1292.753735,0.478879924,99.44015688
Exotic-der,567.7624488,42.74036312,13233.47818,1271.666144,0.457394649,103.2140788
Exotic-der,575.3532525,48.188006,11903.97661,1356.082597,0.457411429,101.3068537
Elite,589.536452,45.24610718,13016.51264,1368.282104,0.464655727,102.5154014
Elite,565.8486178,42.27450353,13394.04994,1211.634017,0.49427504,100.5433434
Elite,647.7513703,47.12906724,13747.55566,1299.402222,0.517949924,95.66997673
Exotic-der,561.6417544,46.4455279,12070.76121,1353.559422,0.434641436,102.3498962
Exotic-der,591.5794295,53.57983275,11018.65424,1428.583539,0.429466285,109.6531772
Exotic-der,546.1910297,48.74410269,11182.46827,1374.049214,0.428203436,105.7237515
Exotic-der,597.4213736,48.73956979,12233.20397,1398.590476,0.44827015,103.5001595
Exotic-der,558.2258373,53.81891122,10383.96212,1372.953696,0.435859485,107.5269373
Elite,554.1517762,49.89241383,11149.50473,1315.754786,0.444256654,106.2214472
Exotic-der,616.9789239,51.37084551,12034.28915,1420.152869,0.472331096,103.5915055
Exotic-der,590.033866,37.76044466,15583.13371,1397.345769,0.455323607,102.1731438
Elite,579.8026216,44.13727658,13122.54054,1214.038501,0.501378771,99.43142352
Exotic-der,612.7234817,41.0550763,14970.39136,1323.420486,0.516329124,95.63304429
Elite,616.719156,43.38271102,14174.40873,1258.03078,0.510130235,102.2710511
Elite,611.6053557,40.2099205,15193.12081,1250.30207,0.509936399,93.61510237
Elite,640.5813282,41.48419307,15398.12722,1353.184808,0.498017587,95.82434815
Elite,692.4405793,45.13345305,15336.41046,1445.561022,0.501952339,97.40509077
Elite,592.5335827,40.71338318,14550.04373,1250.938349,0.519760827,97.9397651
Elite,612.3689626,41.39429582,14791.91233,1303.78685,0.509040542,94.81165162
Elite,638.4555857,43.82156874,14637.49019,1350.505821,0.492608774,100.0540899
Elite,610.3350124,45.834301,13369.1504,1297.416745,0.524074373,92.48783833
Elite,653.0681843,45.51606898,14302.40246,1427.783055,0.464882875,98.79728729
Exotic-der,658.4741093,47.07695922,13984.69451,1599.217005,0.436627234,104.1257914
Elite,612.1150149,43.97232309,13938.99668,1323.399733,0.480110552,90.62345419
Elite,641.3434476,45.58886708,14041.7295,1394.317117,0.487725787,97.52162269
Elite,623.0681158,44.15094328,14110.85584,1314.521394,0.51286794,97.9191632
Elite,594.1238696,41.75633152,14235.59334,1358.523432,0.472237897,95.92314324
Elite,618.8081132,43.59453554,14197.80047,1250.008711,0.513658973,95.22648788
Elite,692.9354068,47.78868081,14472.87172,1442.104412,0.50700433,98.43218735
Elite,657.961883,46.64932495,14035.77874,1336.420961,0.517988566,97.27085802
Exotic-der,642.1467841,44.34986815,14480.30402,1302.746173,0.504436374,95.48246444
Elite,594.5463511,42.90374369,13881.72899,1462.312697,0.434827042,99.50933505
Elite,559.9719031,37.35174814,14910.35647,1273.16618,0.451538164,87.0815593
Elite,587.0353689,39.7692578,14750.97465,1389.936481,0.444469983,103.0658738
Exotic-der,582.4566728,44.98818415,12934.49035,1306.795519,0.46511133,103.9064968
Elite,557.8904019,39.47972417,14201.52926,1318.694606,0.433960603,102.8499748
Exotic-der,585.1997285,52.04192362,11286.8681,1403.339059,0.447727796,104.1921556
